parameter,bin_index,bin_left,bin_right,bin_center,exp_normalized_loglikelihood
param_2,44,0.308,0.3149999999999999,0.31149999999999994,-3294463194.572208
param_2,45,0.3149999999999999,0.322,0.31849999999999995,-2657498687.877035
param_2,46,0.322,0.329,0.3255,-2785644536.761105
param_2,47,0.329,0.336,0.3325,-2963026708.710093
param_2,48,0.336,0.343,0.3395,-3285006737.858693
param_2,49,0.343,0.35,0.34650000000000003,-2609332617.764586
param_2,50,0.35,0.357,0.3535,-3078618572.490673
param_2,51,0.357,0.364,0.3605,-3129863673.626917
param_2,52,0.364,0.3709999999999999,0.36749999999999994,-2947988319.534327
param_2,53,0.3709999999999999,0.3779999999999999,0.3744999999999999,-3065789744.613379
param_2,54,0.3779999999999999,0.385,0.38149999999999995,-2806182894.52732
param_2,55,0.385,0.392,0.3885,-2906610220.495556
param_2,56,0.392,0.399,0.3955,-3363395374.143277
param_2,57,0.399,0.4059999999999999,0.40249999999999997,-3605185558.14306
param_2,58,0.4059999999999999,0.413,0.4095,-3133889711.54248
param_2,59,0.413,0.42,0.4165,-2641990398.236469
param_2,60,0.42,0.4269999999999999,0.42349999999999993,-2938773090.875486
param_2,61,0.4269999999999999,0.434,0.43049999999999994,-2597205863.188232
param_2,62,0.434,0.4409999999999999,0.43749999999999994,-2796099505.765862
param_2,63,0.4409999999999999,0.448,0.44449999999999995,-2138084974.11536
param_2,64,0.448,0.455,0.4515,-2065653303.230672
param_2,65,0.455,0.462,0.4585,-1922289908.195628
param_2,66,0.462,0.469,0.4655,-2194839611.918313
param_2,67,0.469,0.4759999999999999,0.4724999999999999,-2227629065.330839
param_2,68,0.4759999999999999,0.483,0.4794999999999999,-2014185603.549469
param_2,69,0.483,0.49,0.4865,-1667024117.60758
param_2,70,0.49,0.4969999999999999,0.49349999999999994,-1690613739.72335
param_2,71,0.4969999999999999,0.504,0.5005,-1580490874.289485
param_2,72,0.504,0.5109999999999999,0.5075,-1099010014.851762
param_2,73,0.5109999999999999,0.518,0.5145,-1499582474.992203
param_2,74,0.518,0.525,0.5215000000000001,-1483626401.759684
param_2,75,0.525,0.5319999999999999,0.5285,-645231286.6357517
param_2,76,0.5319999999999999,0.539,0.5355,-814726327.1585877
param_2,77,0.539,0.5459999999999999,0.5425,-903656323.8017228
param_2,78,0.5459999999999999,0.5529999999999999,0.5494999999999999,-528950569.249861
param_2,79,0.5529999999999999,0.56,0.5565,-542717213.0725522
param_2,80,0.56,0.567,0.5635,-656791503.2255325
param_2,81,0.567,0.574,0.5705,-666828867.9547006
param_2,82,0.574,0.581,0.5774999999999999,-348819720.4590653
param_2,83,0.581,0.588,0.5845,-667572371.2700033
param_2,84,0.588,0.595,0.5914999999999999,-308638029.6819782
param_2,85,0.595,0.602,0.5985,-587584257.3178475
param_2,86,0.602,0.609,0.6054999999999999,-394800335.6886449
param_2,87,0.609,0.616,0.6125,-177783909.0495414
param_2,88,0.616,0.623,0.6194999999999999,-183585104.3919301
param_2,89,0.623,0.6299999999999999,0.6265,-64024326.49495155
param_2,90,0.6299999999999999,0.637,0.6335,-158309960.6043548
param_2,91,0.637,0.6439999999999999,0.6405,-160842285.1040761
param_2,92,0.6439999999999999,0.6509999999999999,0.6475,-18629218.66097971
param_2,93,0.6509999999999999,0.6579999999999999,0.6544999999999999,-9961036.878003543
param_2,94,0.6579999999999999,0.665,0.6615,-9606963.04669339
